"Activity" "Subject" "Measurement" "Average"
"Walking" 1 "TimeBodyAccMeanX" 0.277330758736842
"Walking" 2 "TimeBodyAccMeanX" 0.276426586440678
"Walking" 3 "TimeBodyAccMeanX" 0.275567462068966
"Walking" 4 "TimeBodyAccMeanX" 0.278582015166667
"Walking" 5 "TimeBodyAccMeanX" 0.27784234625
"Walking" 6 "TimeBodyAccMeanX" 0.283658868070175
"Walking" 7 "TimeBodyAccMeanX" 0.275592961754386
"Walking" 8 "TimeBodyAccMeanX" 0.27468631
"Walking" 9 "TimeBodyAccMeanX" 0.278502842115385
"Walking" 10 "TimeBodyAccMeanX" 0.278574076603774
"Walking" 11 "TimeBodyAccMeanX" 0.271821892881356
"Walking" 12 "TimeBodyAccMeanX" 0.2771286656
"Walking" 13 "TimeBodyAccMeanX" 0.275883130350877
"Walking" 14 "TimeBodyAccMeanX" 0.271959598644068
"Walking" 15 "TimeBodyAccMeanX" 0.273899207962963
"Walking" 16 "TimeBodyAccMeanX" 0.276023564509804
"Walking" 17 "TimeBodyAccMeanX" 0.272341855245902
"Walking" 18 "TimeBodyAccMeanX" 0.273887758571429
"Walking" 19 "TimeBodyAccMeanX" 0.273931172307692
"Walking" 20 "TimeBodyAccMeanX" 0.272589336470588
"Walking" 21 "TimeBodyAccMeanX" 0.279183526730769
"Walking" 22 "TimeBodyAccMeanX" 0.27886459
"Walking" 23 "TimeBodyAccMeanX" 0.273211884237288
"Walking" 24 "TimeBodyAccMeanX" 0.276980816034483
"Walking" 25 "TimeBodyAccMeanX" 0.278992759054054
"Walking" 26 "TimeBodyAccMeanX" 0.279264443728814
"Walking" 27 "TimeBodyAccMeanX" 0.276849485438596
"Walking" 28 "TimeBodyAccMeanX" 0.281228223888889
"Walking" 29 "TimeBodyAccMeanX" 0.271999916792453
"Walking" 30 "TimeBodyAccMeanX" 0.276406758
"WalkingUpstairs" 1 "TimeBodyAccMeanX" 0.255461689622641
"WalkingUpstairs" 2 "TimeBodyAccMeanX" 0.247164790395833
"WalkingUpstairs" 3 "TimeBodyAccMeanX" 0.260819873067797
"WalkingUpstairs" 4 "TimeBodyAccMeanX" 0.270876696730769
"WalkingUpstairs" 5 "TimeBodyAccMeanX" 0.268459469914894
"WalkingUpstairs" 6 "TimeBodyAccMeanX" 0.268229355098039
"WalkingUpstairs" 7 "TimeBodyAccMeanX" 0.248706923078431
"WalkingUpstairs" 8 "TimeBodyAccMeanX" 0.258880152048781
"WalkingUpstairs" 9 "TimeBodyAccMeanX" 0.262436475714286
"WalkingUpstairs" 10 "TimeBodyAccMeanX" 0.267121853404255
"WalkingUpstairs" 11 "TimeBodyAccMeanX" 0.263775859277778
"WalkingUpstairs" 12 "TimeBodyAccMeanX" 0.272970338653846
"WalkingUpstairs" 13 "TimeBodyAccMeanX" 0.258203939581818
"WalkingUpstairs" 14 "TimeBodyAccMeanX" 0.26242106612963
"WalkingUpstairs" 15 "TimeBodyAccMeanX" 0.270187595833333
"WalkingUpstairs" 16 "TimeBodyAccMeanX" 0.255986102627451
"WalkingUpstairs" 17 "TimeBodyAccMeanX" 0.252604768583333
